Country,LFPRFemale,GDPPPP,Population
Afghanistan,21.36,20.338,37171922
Albania,50.58,133.2375,2882735
Algeria,17.28,116.4219,42228415
Angola,76.13,69.3349,30809787
Argentina,50.82,227.5939,44361150
Armenia,43.11,127.151,2951741
Australia,60.38,491.5168,24898153
Austria,55.05,552.9761,8891383
Azerbaijan,63.66,142.0964,9949537
Bahamas,70.04,370.1999,385635
Bahrain,44.91,462.0044,1569440
Bangladesh,36.15,44.4085,161376713
Barbados,61.96,156.749,286640
Belarus,58.16,188.8523,9452615
Belgium,48.66,511.1095,11482180
Belize,49.77,72.6187,383071
Benin,68.65,31.6078,11485035
Bhutan,59.25,113.4844,754396
Bolivia,63.37,86.5553,11353140
Bosnia and Herzegovina,35.52,143.8673,3323929
Botswana,65.23,176.3465,2254067
Brazil,54.36,146.6825,209469320
Brunei,58.48,603.8918,428960
Bulgaria,49.34,222.0845,7051610
Burkina Faso,58.43,21.2033,19751466
Burundi,80.47,7.6152,11175379
Cambodia,77.08,41.5933,16249795
Cameroon,71.27,36.0354,25216261
Canada,60.98,487.9681,37074558
Cape Verde,53.06,68.6418,543764
Central African Republic,64.54,9.331,4666375
Chad,63.98,15.7632,15477727
Chile,51.61,250.289,18729166
China,61.12,152.4298,1427647789
Colombia,57.22,143.1485,49661056
Comoros,34.17,30.6683,832322
Congo,67.62,39.3342,5244363
Costa Rica,48.05,205.5986,4999443
Cote d'Ivoire,44.42,50.3347,25069226
Croatia,45.52,277.9984,4156407
Cyprus,57.87,395.5948,1189262
Czechia,53.05,399.3299,10665679
Democratic Republic of Congo,61.01,10.8589,84068092
Denmark,57.45,562.8128,5752131
Djibouti,50.63,52.1407,958923
Dominican Republic,52.07,177.1179,10627147
Ecuador,55.13,115.6174,17084359
Egypt,18.49,113.6633,98423602
El Salvador,45.12,86.1401,6420740
Equatorial Guinea,54.68,203.8601,1308966
Estonia,57.38,352.0802,1322913
Eswatini,48.32,85.2059,1136274
Ethiopia,73.29,21.0351,109224410
Fiji,38.36,138.4615,883490
Finland,55.74,481.3029,5522585
France,50.79,452.519,64990512
Gabon,43.16,147.4443,2119275
Gambia,50.99,21.5807,2280092
Georgia,55.91,142.534,4002946
Germany,55.23,534.634,83124413
Ghana,63.78,51.7788,29767108
Greece,44.39,291.5069,10522244
Guatemala,40.11,84.6217,17247855
Guinea,62.66,24.997,12414292
Guinea-Bissau,65.82,19.0193,1874304
Guyana,42.69,124.7757,779007
Haiti,63.6,29.9231,11123183
Honduras,51.88,56.8036,9587523
Hong Kong,54.19,610.6294,7371728
Hungary,48.45,310.9555,9707502
Iceland,71.06,567.2211,336712
India,20.71,65.1884,1352642283
Indonesia,52.96,113.7172,267670549
Iran,17.72,134.7186,81800204
Iraq,11.41,103.4621,38433604
Ireland,56.15,843.0334,4818694
Israel,59.7,394.1834,8381507
Italy,40.84,420.5255,60627291
Jamaica,59.54,97.3486,2934853
Japan,52.77,411.8238,127202190
Jordan,14.43,100.1339,9965322
Kazakhstan,63.03,255.4434,18319616
Kenya,71.92,42.0383,51392570
Kuwait,50,504.7858,4137314
Kyrgyzstan,44.36,51.3315,6304025
Laos,76.51,75.9282,7061498
Latvia,56.03,300.3608,1928461
Lebanon,22.9,155.8815,6859408
Lesotho,60.24,26.1465,2108327
Liberia,72.04,14.97,4818976
Libya,34.06,150.1799,6678565
Lithuania,56.73,354.2746,2801270
Luxembourg,54.71,1135.8967,604244
Macao,64.9,1324.168,631633
Madagascar,83.29,15.9205,26262313
Malawi,72.57,14.7103,18143215
Malaysia,51.37,275.5813,31528033
Maldives,42.35,187.9553,515703
Mali,57.82,22.837,19077755
Malta,46.58,433.1347,439255
Mauritania,27.94,50.4243,4403312
Mauritius,44.96,222.0813,1267184
Mexico,44.11,199.2839,126190782
Moldova,35.51,123.6314,4051950
Mongolia,52.29,119.1555,3170214
Montenegro,46.4,206.8657,627803
Morocco,21.55,74.4693,36029089
Mozambique,77.52,12.8973,29496009
Myanmar,48.73,50.2918,53708318
Namibia,55.47,100.9225,2448300
Nepal,81.31,37.7371,28095712
Netherlands,58.37,560.6091,17059560
New Zealand,64.87,428.6612,4743131
Nicaragua,50.06,57.2968,6465502
Niger,60.84,12.0097,22442831
Nigeria,48.39,51.5507,195874685
North Macedonia,43.01,160.9331,2082956
Norway,60.44,643.4125,5337960
Oman,35.87,283.5094,4829476
Pakistan,21.65,47.3947,212228288
Palestine,17.45,63.1821,4862978
Panama,53.41,310.1294,4176868
Papua New Guinea,46.53,41.9009,8606324
Paraguay,59.01,128.277,6956069
Peru,70.31,127.8141,31989265
Philippines,45.99,85.1613,106651394
Poland,48.91,316.7413,37921585
Portugal,54.52,340.4072,10256192
Puerto Rico,32.54,342.9935,3039598
Qatar,56.92,909.7006,2781682
Romania,45.75,285.2347,19506110
Russia,55.24,266.564,145734034
Rwanda,83.91,20.8874,12301969
Saint Lucia,68.01,152.6136,181890
Saint Vincent and the Grenadines,56.86,124.6641,110210
Samoa,31.3,63.222,196128
Sao Tome and Principe,41.65,39.9327,211032
Saudi Arabia,21.95,475.9276,33702757
Senegal,34.99,33.0948,15854324
Serbia,47.54,174.5279,8802741
Sierra Leone,57.4,16.6329,7650149
Singapore,62.07,982.2284,5757503
Slovakia,52.38,311.3257,5453017
Slovenia,53.81,379.6835,2077835
Solomon Islands,82.13,26.9764,652856
Somalia,22,8.6676,15008225
South Africa,49.51,126.2792,57792520
South Korea,53.21,419.4834,51171700
Spain,52.01,403.1254,46692863
Sri Lanka,33.67,128.6032,21228760
Sudan,29.12,43.4452,41801532
Suriname,39.55,190.0565,575987
Sweden,61.16,523.4929,9971630
Switzerland,62.92,706.6348,8525614
Tajikistan,29.94,34.1532,9100847
Tanzania,79.75,25.902,56313444
Thailand,59.46,180.9573,69428454
Timor,61.84,30.5166,1267975
Togo,56.14,20.6133,7889095
Tonga,38.14,64.1128,103199
Trinidad and Tobago,50.41,262.5037,1389841
Tunisia,25.12,107.6372,11565203
Turkey,34.08,283.1268,82340090
Turkmenistan,44.59,148.4534,5850902
Uganda,66.86,21.2196,42729032
Ukraine,47,123.38,44246158
United Arab Emirates,52.35,669.6822,9630966
United Kingdom,57.57,460.379,67141678
United States,56.39,615.8575,327096263
Uruguay,55.42,230.3508,3449290
Uzbekistan,49.1,67.5548,32476232
Vanuatu,60.98,30.9346,292675
Vietnam,73.01,75.8594,95545959
Zambia,70.35,35.2154,17351714
Zimbabwe,78.04,33.4166,14438812
